country_txt,nkill
Afghanistan,38955
Albania,1
Algeria,3653
Angola,1096
Argentina,0
Armenia,8
Australia,10
Austria,3
Azerbaijan,13
Bahamas,0
Bahrain,29
Bangladesh,499
Belarus,13
Belgium,43
Belize,0
Benin,0
Bhutan,9
Bolivia,0
Bosnia-Herzegovina,9
Brazil,11
Bulgaria,13
Burkina Faso,132
Burundi,922
Cambodia,22
Cameroon,2267
Canada,14
Central African Republic,1979
Chad,828
Chile,5
China,838
Colombia,2892
Costa Rica,1
Croatia,3
Cuba,1
Cyprus,0
Czech Republic,2
Democratic Republic of the Congo,3987
Denmark,3
Djibouti,5
Dominican Republic,2
East Timor,9
Ecuador,2
Egypt,3122
Equatorial Guinea,1
Eritrea,40
Estonia,2
Ethiopia,727
Fiji,7
Finland,11
France,281
Gabon,0
Gambia,0
Georgia,50
Germany,41
Ghana,0
Greece,76
Guatemala,18
Guinea,208
Guinea-Bissau,17
Guyana,33
Haiti,27
Honduras,41
Hong Kong,0
Hungary,3
Iceland,0
India,9999
Indonesia,823
International,1
Iran,499
Iraq,77911
Ireland,4
Israel,987
Italy,6
Ivory Coast,217
Jamaica,0
Japan,19
Jordan,116
Kazakhstan,28
Kenya,1437
Kosovo,60
Kuwait,38
Kyrgyzstan,9
Laos,15
Latvia,1
Lebanon,745
Lesotho,1
Liberia,18
Libya,2571
Macedonia,48
Madagascar,6
Malawi,1
Malaysia,18
Maldives,1
Mali,1237
Malta,1
Mauritania,39
Mexico,178
Moldova,2
Montenegro,1
Morocco,75
Mozambique,163
Myanmar,531
Namibia,25
Nepal,1906
Netherlands,10
New Zealand,0
Nicaragua,7
Niger,1145
Nigeria,22239
Norway,78
Pakistan,20543
Panama,1
Papua New Guinea,0
Paraguay,49
Peru,138
Philippines,4413
Poland,1
Portugal,0
Qatar,3
Republic of the Congo,61
Romania,0
Russia,3455
Rwanda,67
Saudi Arabia,570
Senegal,114
Serbia,3
Serbia-Montenegro,3
Sierra Leone,61
Slovak Republic,0
Slovenia,0
Solomon Islands,2
Somalia,9934
South Africa,83
South Korea,0
South Sudan,2634
Spain,273
Sri Lanka,2810
St. Lucia,2
Sudan,3368
Swaziland,0
Sweden,10
Switzerland,14
Syria,14707
Taiwan,2
Tajikistan,43
Tanzania,59
Thailand,2366
Togo,0
Trinidad and Tobago,0
Tunisia,298
Turkey,2412
Turkmenistan,3
Uganda,1310
Ukraine,2253
United Arab Emirates,1
United Kingdom,142
United States of America,3310
Uruguay,1
Uzbekistan,49
Venezuela,28
Vietnam,0
West Bank and Gaza Strip,933
Western Sahara,0
Yemen,8704
Yugoslavia,13
Zambia,0
Zimbabwe,18
